Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 23542], 1=[20000000, 22716], 2=[20000000, 14875], 3=[20000000, 15135]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23.28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0.990, iF=0.900, nClusters=4, aProb=0.50
Clusters INIT Lower Bound: [0=6381, 1=5555, 2=-2285, 3=-2025]
Cooling factor: 0.990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
90		0.818		0.41		0.629		0.70		1159731		374545		1534276		54590		18.60s
91		0.809		0.40		0.618		0.70		1147880		386396		1534276		54534		31.76s
92		0.801		0.40		0.628		0.70		1158022		376254		1534276		54583		20.12s
93		0.793		0.40		0.621		0.70		1151706		382570		1534276		54608		19.06s
94		0.785		0.39		0.642		0.70		1172362		361914		1534276		54598		31.64s
95		0.778		0.39		0.646		0.69		1176211		358065		1534276		54608		18.63s
96		0.770		0.38		0.663		0.69		1193226		341050		1534276		54582		17.73s
97		0.762		0.38		0.673		0.69		1203459		330817		1534276		54597		30.91s
98		0.754		0.38		0.678		0.69		1209097		325179		1534276		54564		16.59s
99		0.747		0.37		0.680		0.69		1210623		323653		1534276		54575		19.05s
100		0.739		0.37		0.677		0.68		1208019		326257		1534276		54572		28.63s
101		0.732		0.37		0.686		0.68		1216680		317596		1534276		54580		16.72s
102		0.725		0.36		0.673		0.68		1203411		330865		1534276		54577		18.98s
103		0.717		0.36		0.693		0.68		1223984		310292		1534276		54567		30.60s
104		0.710		0.36		0.696		0.68		1226765		307511		1534276		54549		17.34s
105		0.703		0.35		0.706		0.68		1237240		297036		1534276		54543		18.59s
106		0.696		0.35		0.705		0.67		1236596		297680		1534276		54544		30.62s
107		0.689		0.34		0.717		0.67		1248441		285835		1534276		54552		16.02s
108		0.682		0.34		0.720		0.67		1251183		283093		1534276		54568		17.90s
109		0.676		0.34		0.721		0.67		1252714		281562		1534276		54562		27.19s
110		0.669		0.33		0.726		0.67		1257460		276816		1534276		54572		18.47s
111		0.662		0.33		0.731		0.67		1262457		271819		1534276		54578		18.42s
112		0.655		0.33		0.734		0.66		1265002		269274		1534276		54573		31.00s
113		0.649		0.32		0.736		0.66		1267536		266740		1534276		54571		17.79s
114		0.642		0.32		0.737		0.66		1268033		266243		1534276		54572		18.49s
115		0.636		0.32		0.738		0.66		1269182		265094		1534276		54576		28.01s
116		0.630		0.31		0.739		0.66		1270827		263449		1534276		54581		16.15s
117		0.623		0.31		0.740		0.66		1270997		263279		1534276		54587		18.82s
118		0.617		0.31		0.742		0.65		1273705		260571		1534276		54586		33.47s
119		0.611		0.31		0.743		0.65		1274207		260069		1534276		54584		16.49s
120		0.605		0.30		0.743		0.65		1274248		260028		1534276		54582		18.47s
121		0.599		0.30		0.743		0.65		1274308		259968		1534276		54586		28.51s
122		0.593		0.30		0.743		0.65		1274373		259903		1534276		54588		16.47s
123		0.587		0.29		0.743		0.65		1274371		259905		1534276		54588		18.23s
124		0.581		0.29		0.743		0.65		1274389		259887		1534276		54589		28.85s
125		0.575		0.29		0.743		0.64		1274445		259831		1534276		54590		16.70s
126		0.569		0.28		0.743		0.64		1274473		259803		1534276		54590		19.39s
127		0.564		0.28		0.743		0.64		1274481		259795		1534276		54590		27.94s
128		0.558		0.28		0.743		0.64		1274548		259728		1534276		54590		18.26s
Terminated Vaquero algorithm at iteration: 128, Runtime: 2811.10
[ForkJoinPool.commonPool-worker-9] WARN org.janusgraph.graphdb.olap.computer.FulgoraGraphComputer - Property key [gremlin.VaqueroVertexProgram.label] is not part of the schema and will be created. It is advised to initialize all keys.
Clusters capacity/usage: [0=[20000000, 23262], 1=[20000000, 17161], 2=[20000000, 18314], 3=[20000000, 17531]]
Clusters Lower Bound: [0=6101, 1=0, 2=1154, 3=371]
Clusters added together count: 76268
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268
Number of all to be expanded nodes: 13366
Before/After Cross Node Queries: 1010699 / 259728, Improvement: 74.30%
Good before/after Queries:  523577 / 1274548

R2 Before/After Cross Node Queries: 1010699 / 283225, Improvement: 71.98%

